"date_time","channel","sp_title","category","sport","subsport","gender","length","description"
2023-02-22 21:30:00,"Teledeporte","Vela: SailGP Series",NA,"Vela",NA,NA,90,"Una competición náutica que enfrenta por países a los tripulantes de catamaranes F50. En la temporada 22/23, el certamen celebra su tercera edición y visita costas tan icónicas como las de Bermudas, Chicago, Plymouth, Cádiz o San Francisco."
2023-02-22 23:00:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,95,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-23 00:38:00,"Teledeporte","Copa de Naciones",NA,"Otros",NA,NA,92,"España cierra su participación en la Copa de Naciones midiéndose a Chequia en el McDonald Jones Stadium de la ciudad australiana de Newcastle. Las de Jorge Vilda pretenden finalizar el torneo con un triunfo de prestigio."
2023-02-23 02:10:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,137,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-23 04:27:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,137,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-23 06:45:00,"Teledeporte","Hola Golf",NA,"Golf",NA,NA,15,"Un espacio que analiza toda la actualidad del mundo del golf. El noticiario hace especial hincapié en las citas del PGA Tour y del circuito europeo."
2023-02-23 07:00:00,"Teledeporte","Internacionales Chelva MTB",NA,"Otros",NA,NA,100,"Los Internacional de Chelva de bicicleta de montaña ganan peso año tras año. La edición de 2023 cuenta con la máxima categoría UCI, solo por debajo de las copas del mundo. Al trazado valenciano acuden algunos de los mejores especialistas del planeta."
2023-02-23 08:40:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,98,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-23 10:10:00,"Teledeporte","Resumen División de Honor de baloncesto en silla de ruedas",NA,"Baloncesto",NA,NA,5,"Los diez mejores clubes de baloncesto en silla de ruedas disputan la División de Honor de este deporte. Este espacio realiza un resumen de los mejores momentos de la competición."
2023-02-23 10:15:00,"Teledeporte","Guerreras DHF",NA,"Balonmano",NA,NA,30,"Un repaso a lo mejor de cada jornada en la División de Honor del balonmano femenino en España."
2023-02-23 10:45:00,"Teledeporte","Reportajes TDP | Ciclismo",NA,"Ciclismo",NA,NA,25,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-23 11:10:00,"Teledeporte","Moto Avenue",NA,"Motociclismo",NA,NA,15,"Un programa pensado para los amantes de la gasolina y de las dos ruedas. El motociclismo de competición es el gran protagonista de este espacio."
2023-02-23 11:25:00,"Teledeporte","Circuito mundial de atletismo en pista cubierta",NA,"Atletismo",NA,NA,155,"Madrid acoge la sexta parada del circuito mundial en pista cubierta. El Centro Deportivo Municipal Gallur es el escenario de una cita a la que acudirán algunos de los atletas más en forma del momento."
2023-02-23 14:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,137,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-23 16:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,137,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-23 17:45:00,"Teledeporte","Copa del Rey de voleibol",NA,"Voleibol",NA,NA,75,"El Pabellón Los Pajaritos de Soria alberga la Copa del Rey de voleibol del 23 al 26 de febrero. El torneo del KO repite el formato con los ocho mejores conjuntos de la primera vuelta de la Superliga como protagonistas. El Melilla se impuso en 2022."
2023-02-23 19:00:00,"Teledeporte","WTA: Dubái",NA,"WTA Tour",NA,NA,137,"La de Dubái es una cita muy importante en el circuito WTA. El torneo de los Emiratos Árabes, de categoría 1000, reúne a la flor y nata del tenis femenino. Jelena Ostapenko se impuso en la edición de 2022."
2023-02-23 20:20:00,"Teledeporte","Clasificación MundoBasket",NA,"Mundial",NA,NA,160,"España acude a Reikiavik en la undécima jornada de la fase de clasificación. Un viaje placentero, ya que los de Scariolo tienen asegurada su presencia en el MundoBasket. En agosto pasado, la Selección apabulló en Pamplona a los nórdicos 87-57."
2023-02-23 23:00:00,"Teledeporte","Estudio estadio",NA,"Fútbol",NA,NA,98,"El programa se reinventa con una nueva etapa 50 años después de su debut. El periodista deportivo Paco Caro lidera este espacio, que cuenta con la colaboración de Juan Carlos Rivero."
2023-02-25 01:30:00,"Teledeporte","Mundial de Superbike",NA,"Otros",NA,NA,90,"El campeonato del mundo de Superbike es una competición de motos de gran cilindrada paralela al mundial de velocidad y que sirve de plataforma para muchos pilotos. El calendario de 2023 consta de doce pruebas. En cada evento se disputan tres carreras puntuables."
2023-02-25 03:00:00,"Teledeporte","Mundial de Superbike",NA,"Otros",NA,NA,90,"El campeonato del mundo de Superbike es una competición de motos de gran cilindrada paralela al mundial de velocidad y que sirve de plataforma para muchos pilotos. El calendario de 2023 consta de doce pruebas. En cada evento se disputan tres carreras puntuables."
2023-02-25 03:40:00,"Teledeporte","Surfing.es",NA,"Deportes náuticos",NA,NA,20,"El surf es una modalidad muy espectacular, tanto para quien lo ve como para el que lo practica. Los surfistas deben tener un espíritu aventurero, ya que en muchas ocasiones arriesgan su vida contra las olas. Este espacio repasa la actualidad de este mundo."
2023-02-25 04:00:00,"Teledeporte","Reportajes TDP | Atletismo",NA,"Atletismo",NA,NA,15,"Los reportajes de TDP pretenden promocionar el deporte español. Una aproximación a los atletas y a las competiciones de menor seguimiento que sirven para poner en valor el esfuerzo y el sacrificio de los participantes."
2023-02-25 04:15:00,"Teledeporte","Mundial de Supersport",NA,"Otros",NA,NA,60,"El campeonato del mundo de Supersport es una competición motociclista que comparte su calendario y los circuitos con el Mundial de Superbike. A lo largo del año, se realizan 12 grandes premios, comenzando en febrero en Phillip Island y terminando en noviembre."
